Slangword,Kata Baku
klu,kalau
kluar,keluar
klw,kalau
kmauan,mau
kmbali,kembali
kmren,kemarin
knp,kenapa
knpa,kenapa
koleksinya,koleksi
komen,komentar
komplit,lengkap
kontl,kontol
kontolll,kontol
koroan,koran
kren,keren
krmn,kemarin
krn,karena
krna,karena
ksih,kasih
kt,kata
ktka,ketika
ktmu,ketemu
ku,saya
kurangin,kurang
kurangnya,kurang
kwalitas,kualitas
kya,seperti
kyk,seperti
laen,lain
lag,gangguan
lagunya,lagu
lahi,lagi
lahua,lagu
lainn,lain
lainnya,lain
langgananya,langganan
latinnya,latin
lav,suka
layanannya,layanan
lbh,lebih
lekap,lengkap
lemot,lamban
lengkapin,lengkap
leptop,laptop
lewati,lewat
lg,lagi
lgi,lagi
lgu,lagu
liat,lihat
like,suka
liriknya,lirik
listen,dengar
lma,lama
lngkp,lengkap
loading,memuat
log in,masuk
log out,keluar
login,masuk
lohhhh,loh
lopeee,suka
lov,suka
love,suka
lovee,suka
loveeeee,suka
lu,kamu
luv,suka
lyrics,lirik
machine,mesin
mahon,mohon
mai,saya
mainin,main
make,membuat
maksa,paksa
maksudnya,maksud
males,malas
manfaatnya,manfaat
mangtaf,mantap
mantaaap,mantap
mantaabbs,mantap
mantaap,mantap
mantaapp,mantap
mantab,mantap
mantaf,mantap
mantaplah,mantap
mantapp,mantap
mantappp,mantap
mantapppp,mantap
manteb,mantap
mantep,mantap
mantili,mantap
mantul,mantap
manyap,mantap
markotop,mantap
masukan,masuk
masukin,masuk
matiin,mati
matiinnya,mati
matikan,mati
mayan,lumayan
mbayar,bayar
mboislah,keren
me,saya
meh,tidak
mek,tidak
meluluuuuuuuuuyuuuuuuuuuuuuuuuu,terus
membagongkan,bingung
memk,memang
mempengaruhi,pengaruh
memutar,putar
mencarinya,cari
mendengarkan,dengar
mendonlwot,unduh
mendownload,unduh
menerut,menurut
mengatasinya,mengatasi
mengbabu,babu
menghibur,hibur
menginstal,unduh
mengoperasikan,operasi
mengsad,sedih
menurutku,menurut
menyenanglan,senang
mi,saya
minn,administrator
misalnya,misal
mknya,sehingga
mlah,malah
mlh,malah
mna,mana
mnambhkan,tambah
mnt,menurut
mntaaappp,mantap
mntaf,mantap
modd,modifikasi
moga,semoga
muaaaantapb,mantap
muantabs,mantap
muantap,mantap
much,banyak
mulu,terus
muluh,terus
munculnya,muncul
music,musik
musiccc,musik
musiiik,musik
musiknya,musik
mutar,putar
mutarnya,putar
muter,putar
my,saya
n,dan
najiss,najis
nak,anak
nambahin,tambah
ndak,tidak
nemenin,teman
ngacak,acak
ngantuk,kantuk
ngasi,kasih
nge lag,gangguan
ngebantu,bantu
ngebug,gangguan
ngehafal,hafal
ngelag,gangguan
ngeliat,lihat
ngentod,kentut
ngeselin,kesal
ngesetel,setel
ngga,tidak
nggak,tidak
ngulang,ulang
ngurangin,kurang
ni,ini
nian,ini
nice,bagus
njing,anjing
njir,anjing
njr,anjing
no,tidak
notif,notifikasi
notifnya,notifikasi
ntah,entah
ntek,habis
nuntut,tuntut
ny,nya
nyaa,nya
nyah,nya
nyantai,santai
nyanyiin,nyanyi
nyari,cari
nyba,coba
nye,nya
nyesek,sesak
nyesel,kecewa
nyetel,setel
nyoba,coba
obatt,obat
oc,oke
off,mati
offlain,luring
offline,luring
ofline,luring
ok,oke
okay,oke
okee,oke
okeh,oke
on,hidup
online,daring
org,orang
out,keluar
output,keluar
padalah,padahal
pake,pakai
paketan,paket
pdhal,padahal
pdhl,padahal
pemakaiannya,pakai
pengaturanmu,pengaturan
pengen,mau
pengin,mau
penyanyinya,penyanyi
perbaharui,membarui
perbaikannya,perbaikan
perbaiki,perbaikan
perbarui,perbaikan
personalisasi,personal
pertahankan,tahan
pgn,mau
pk,pakai
pke,pakai
play,putar
playstore,toko daring
plis,tolong
pliss,tolong
pls,tolong
plus,tambah
pngnnya,mau
poko,pokok
pokoknya,pokok
prbanyakan,banyak
prem,premium
premiuma,premium
premiumnya,premium
premiun,premium
prens,teman
primium,premium
puls,tambah
puter,putar
putur,putar
q,saya
qta,kita
ragamnya,ragam
randem,acak
random,acak
rasanya,rasa
rating,peringkat
real,asli
recomended,rekomendasi
recomendet,rekomendasi
recomentded,rekomendasi
reconnected,rekomendasi
rekomendasikan,rekomendasi
